업소명,업태명,도로명주소,전화번호,주메뉴,데이터기준일
부림정1,한식,서울특별시 광진구 뚝섬로 476-7 (자양동),02-463-5455,갈비,2019-02-21
(주)장군갈비,한식,서울특별시 광진구 용마산로 11 (중곡동),02-457-3241,갈비탕,2019-02-21
거보주,한식,"서울특별시 광진구 아차산로51길 24, 1~2층 (구의동)",02-456-2266,"돼지갈비, 삼겹살",2019-02-21
송림식당,한식,"서울특별시 광진구 자양번영로 77 (자양동,,137,138,139,141)",02-457-5473,불고기,2019-02-21
능동아구탕,한식,서울특별시 광진구 천호대로 544 (군자동),02-467-9350,아구탕,2019-02-21
송화양꼬치,중국식,서울특별시 광진구 동일로18길 70 (자양동),02-462-7826,양꼬치,2019-02-21
다도회집,일식,서울특별시 광진구 뚝섬로 670 (자양동),02-453-7653,생선회,2019-02-21
다락,일식,서울특별시 광진구 광나루로 440 (화양동),02-444-4128,알탕,2019-02-21
제주뜰향갈치전문점,한식,서울특별시 광진구 능동로 387 (중곡동),02-464-6118,갈치조림,2019-02-21
유일설렁탕,한식,서울특별시 광진구 용마산로 154 (중곡동),02-452-5860,설렁탕,2019-02-21
대원칼국수,분식,"서울특별시 광진구 자양로18길 56 (구의동,,16)",02-454-3112,칼국수,2019-02-21
중일가든,한식,서울특별시 광진구 아차산로76가길 4 (광장동),02-447-4111,꽃등심,2019-02-21
원할머니보쌈,한식,서울특별시 광진구 용마산로 37 (중곡동),02-446-0033,보쌈,2019-02-21
낙골집,한식,"서울특별시 광진구 자양로5길 13 (자양동,(1층))",02-446-6432,납곱전골,2019-02-21
등촌칼국수,분식,서울특별시 광진구 자양번영로 52 (자양동),02-457-2564,칼국수,2019-02-21
남원본가맛추어탕,한식,서울특별시 광진구 동일로 112 (화양동),02-499-0499,추어탕,2019-02-21
마포돼지갈비,한식,서울특별시 광진구 동일로 282 (군자동),02-499-1412,돼지갈비,2019-02-21
동해바다,한식,서울특별시 광진구 아차산로 453 (구의동),02-458-7721,낙지찜,2019-02-21
회뜨는포차생선을굽다(군자본점),일식,서울특별시 광진구 군자로 183 (군자동),02-499-9192,생선회,2019-02-21
예담밥상,한식,서울특별시 광진구 동일로22길 13 (화양동),02-469-0072,한정식,2019-02-21
오장동함흥냉면신창면옥,한식,서울특별시 광진구 뚝섬로 634 (자양동),02-454-7353,회냉면,2019-02-21
명품광어,일식,서울특별시 광진구 아차산로 438 (구의동),02-461-4300,생선회,2019-02-21
신선설농탕자양점,한식,서울특별시 광진구 자양로 139 (자양동),02-454-7944,설렁탕,2019-02-21
일송정,한식,"서울특별시 광진구 아차산로49길 21, 1~2층 (구의동)",02-447-2233,한정식,2019-02-21
능동순두부,한식,서울특별시 광진구 동일로60길 24 (군자동),02-498-1753,해물순두부,2019-02-21
금용각,중국식,서울특별시 광진구 긴고랑로 106 (중곡동),02-452-6143,자장면,2019-02-21
동촌,일식,"서울특별시 광진구 뚝섬로67길 5, 1~2층 (구의동)",02-3436-0547,생대구탕,2019-02-21
파티대통령,뷔페식,서울특별시 광진구 천호대로 541 (중곡동),02-499-6667,뷔페식,2019-02-21
보쌈과삼계탕,한식,"서울특별시 광진구 뚝섬로 670, 2층 (자양동)",02-454-1223,"보쌈, 삼계탕",2019-02-21
어사출또,일식,서울특별시 광진구 아차산로 209 (화양동),02-6405-6116,생선회,2019-02-21
진주품은활어,일식,"서울특별시 광진구 동일로60길 37, 1층 (군자동)",02-2205-0224,활어회,2019-02-21
최원석의돼지한판&서해쭈꾸미건대1호점,한식,서울특별시 광진구 아차산로 199 (화양동),02-461-1272,"돼지고기, 쭈꾸미",2019-02-21
가운소곱창,한식,서울특별시 광진구 아차산로78길 177 (광장동),02-447-2893,소곱창,2019-02-21
황금손가락,한식,서울특별시 광진구 구의강변로 49 (구의동),02-453-3599,초밥,2019-02-21
춘향골남원추어탕,한식,서울특별시 광진구 아차산로 453-1 (구의동),02-446-4005,추어탕,2019-02-21
시옌(禧宴),중국식,"서울특별시 광진구 능동로 137-8 (화양동,지하1층,1,2층)",02-498-2280,자장면,2019-02-21
대가식당,한식,서울특별시 광진구 광나루로 596 (구의동),02-456-1944,등심,2019-02-21
건국갈비,한식,서울특별시 광진구 광나루로22가길 18 (화양동),02-2201-0018,돼지갈비,2019-02-21
한방삼계탕,한식,서울특별시 광진구 천호대로 581 (중곡동),02-446-3610,삼계탕,2019-02-21
군자생고기,한식,서울특별시 광진구 천호대로107길 8 (중곡동),02-467-5211,부대찌개,2019-02-21
보현식당,한식,서울특별시 광진구 뚝섬로34길 9 (자양동),02-458-5784,삼겹살,2019-02-21
무등산닭한마리,한식,서울특별시 광진구 아차산로31길 6 (화양동),02-498-3027,"닭볶음탕, 삼계탕",2019-02-21
(주)남원추어탕,한식,서울특별시 광진구 동일로 114 (화양동),02-498-8649,추어탕,2019-02-21
샹그라,중국식,"서울특별시 광진구 능동로 237, 2층 (군자동)",02-464-8088,자장면,2019-02-21
경성양꼬치,분식,서울특별시 광진구 동일로18길 53 (자양동),02-467-6880,양꼬치,2019-02-21
남원추어탕,한식,서울특별시 광진구 능동로 389 (중곡동),02-6084-8398,추어탕,2019-02-21
냉면전문점이대팔,한식,"서울특별시 광진구 아차산로 238, 1층 (자양동)",02-499-0458,돼지갈비,2019-02-21
장수면옥,한식,"서울특별시 광진구 광나루로56길 85, 9층동 1호 (구의동,테크노마트21)",02-3424-1130,냉면,2019-02-21
신라전골,한식,"서울특별시 광진구 광나루로56길 85, 9층동 006호 (구의동,테크노마트)",02-3424-1513,부대찌개,2019-02-21
무교동유정낙지구의점,한식,서울특별시 광진구 아차산로 464 (구의동),02-446-2565,낚지볶음,2019-02-21
할머니추어탕자양점,한식,서울특별시 광진구 자양번영로 33 (자양동),02-458-8808,추어탕,2019-02-21
탄뽀뽀,일식,"서울특별시 광진구 광나루로56길 85 (구의동,테크노마트21 9층38)",02-3424-1556,초밥,2019-02-21
동신참치,일식,"서울특별시 광진구 광나루로56길 85, 9층동 36호호 (구의동,테크노마트)",02-3424-1338,참치회,2019-02-21
명가순대국,한식,서울특별시 광진구 광나루로 621 (광장동),02-457-1613,순대국,2019-02-21
고향반점,중국식,서울특별시 광진구 동일로18길 61 (자양동),02-466-3618,"야채볶음요리, 탕수육",2019-02-21
숨비소리,한식,서울특별시 광진구 능동로19길 17 (화양동),02-466-5892,딱새우찜,2019-02-21
행복고기소,한식,서울특별시 광진구 뚝섬로 505 (자양동),02-468-8892,"삼겹살, 돼지갈비",2019-02-21
내가찜한닭,한식,서울특별시 광진구 아차산로33길 63 (화양동),02-464-1238,찜닭,2019-02-21
능동곱창,한식,서울특별시 광진구 긴고랑로 12 (중곡동),02-446-7655,곱창,2019-02-21
복성장,중국식,서울특별시 광진구 면목로 37 (군자동),02-461-4333,자장면,2019-02-21
청춘물고기,한식,"서울특별시 광진구 군자로 43, 1층 102,103호 (화양동, 광진아스하임3차)",02-465-2220,생선회,2019-02-21
한강옥,한식,서울특별시 광진구 아차산로78길 147 (광장동),02-456-0091,한우생고기,2019-02-21
화통집건대점,한식,"서울특별시 광진구 동일로24길 103, 1~3층 (화양동)",02-6053-9200,"보쌈, 족발",2019-02-21
이어도참치(e어도참치),일식,서울특별시 광진구 뚝섬로 741 (구의동),02-457-3738,참치회,2019-02-21
옛골토성(어린이대공원점),한식,"서울특별시 광진구 능동로36길 187, 공원갈비 1~2층 (능동)",02-452-5295,오리훈제,2019-02-21
가마두에,한식,서울특별시 광진구 아차산로30길 18 (자양동),02-461-6163,돼지갈비,2019-02-21
사랑채,한식,"서울특별시 광진구 아차산로 440-8 (구의동,지하 01)",02-3436-9200,국수전골,2019-02-21
영산강,한식,서울특별시 광진구 자양로16길 24 (자양동),02-452-2119,홍삼합,2019-02-21
자연애덕,한식,서울특별시 광진구 능동로36길 16 (능동),02-444-5788,오리고기,2019-02-21
왕돈,한식,서울특별시 광진구 천호대로112길 13 (능동),02-457-9457,부대찌개,2019-02-21
닭한마리손칼국수,한식,서울특별시 광진구 답십리로 364 (중곡동),,칼국수,2019-02-21
매화반점,중국식,"서울특별시 광진구 동일로18길 96 (자양동, 1,2)",02-462-1939,양갈비,2019-02-21
등촌샤브칼국수,분식,서울특별시 광진구 용마산로 128 (중곡동),02-454-6889,샤브샤브,2019-02-21
갯마을,한식,서울특별시 광진구 아차산로 443 (구의동),02-454-6279,해물탕,2019-02-21
아리아,경양식,"서울특별시 광진구 아차산로76길 5 (광장동,, 324-3)",02-452-3236,돈까스,2019-02-21
주식회사 돕,한식,서울특별시 광진구 아차산로31길 9 (화양동),02-499-2838,감자탕,2019-02-21
산골닭갈비,한식,서울특별시 광진구 구의강변로7길 5 (구의동),02-444-7985,닭갈비,2019-02-21
산아래,한식,서울특별시 광진구 자양로45길 7 (구의동),02-455-0517,감자탕,2019-02-21
홍천화로숯불구이,한식,서울특별시 광진구 천호대로110길 27 (능동),02-454-9285,돼지갈비,2019-02-21
하이난,중국식,"서울특별시 광진구 능동로 243-1 (군자동,(지하))",02-466-0832,자장면,2019-02-21
비조,일식,서울특별시 광진구 광나루로 586 (구의동),02-455-1345,생선회,2019-02-21
최원석의돼지한판&서해쭈꾸미광장점,한식,서울특별시 광진구 아차산로 478 (구의동),02-447-4544,쭈꾸미,2019-02-21
동성관,중국식,"서울특별시 광진구 뚝섬로52가길 3, 1층 (자양동)",02-444-9080,자장면,2019-02-21
장수마을정육식당,한식,서울특별시 광진구 군자로 100 (군자동),02-466-6005,갈비,2019-02-21
황금어장,한식,서울특별시 광진구 광나루로 376 (화양동),02-467-4414,생선회,2019-02-21
태원전복,일식,"서울특별시 광진구 능동로 270, 1층 (능동)",02-457-3340,전복요리,2019-02-21
한방삼계탕,한식,서울특별시 광진구 능동로 331 (중곡동),02-466-6766,삼계탕,2019-02-21
행복한우,한식,"서울특별시 광진구 구의강변로 30 (구의동,목림빌딩 1층)",02-446-6987,갈비살,2019-02-21
포몬스(건대점),한식,"서울특별시 광진구 아차산로 208 (자양동,상록빌딩 1층)",02-461-1721,쌀국수,2019-02-21
동해해물,한식,서울특별시 광진구 동일로26길 16 (화양동),02-469-5843,해물찜,2019-02-21
영덕물회&생태,일식,"서울특별시 광진구 아차산로 461 (구의동,1층)",02-454-3396,생태탕,2019-02-21
지호한방삼계탕광장점,한식,서울특별시 광진구 아차산로 610 (광장동),02-452-3990,삼계탕,2019-02-21
소야지,한식,서울특별시 광진구 능동로36길 24 (능동),02-446-7645,삼겹살,2019-02-21
빕스(VIPS) 어린이대공원점,뷔페식,"서울특별시 광진구 능동로 239, 2층 (군자동)",02-462-0997,스테이크,2019-02-21
가마솥도가니탕 장수옥,한식,서울특별시 광진구 용마산로 124 (중곡동),02-4446-888,갈비,2019-02-21
만나정,한식,서울특별시 광진구 능동로 254 (능동),02-455-6020,삼계탕,2019-02-21
삼대불고기냉면,한식,서울특별시 광진구 천호대로 675 (구의동),02-444-7292,불고기냉면,2019-02-21
함흥본가면옥,한식,"서울특별시 광진구 광나루로 456 (화양동,,25)",02-447-8806,냉면,2019-02-21
민속손국시,분식,서울특별시 광진구 아차산로 458 (구의동),02-444-7833,칼국수,2019-02-21
대갈집,한식,서울특별시 광진구 능동로 49 (자양동),02-463-2702,갈비,2019-02-21
도선,중국식,"서울특별시 광진구 강변역로 50 (구의동,지하1층)",02-458-9990,자장면,2019-02-21
아웃백 스테이크하우스 어린이대공원점,경양식,"서울특별시 광진구 광나루로 410 (화양동,KCC파크타운 2층)",02-3436-2691,스테이크,2019-02-21
코바코,분식,"서울특별시 광진구 강변역로4길 10 (구의동,(103호))",02-444-7893,돈가스,2019-02-21
큰맘할매순대국,한식,"서울특별시 광진구 아차산로 451 (구의동,세림APT 지하1층 5,6호)",02-444-8279,순대국,2019-02-21
미국가주우육면대왕&중화반점,중국식,"서울특별시 광진구 동일로18길 56 (자양동,(2층))",02-6465-8999,우육면,2019-02-21
민벅,경양식,서울특별시 광진구 능동로13길 39 (화양동),02-469-4455,함박스테이크,2019-02-21
옛집,한식,서울특별시 광진구 아차산로76가길 18 (광장동),02-2201-4369,김치찌개,2019-02-21
채선당,한식,"서울특별시 광진구 아차산로 563 (광장동,대한제지B/D 지하2층 B202호)",02-2049-7888,샤브샤브,2019-02-21
광나루남원추어탕,한식,서울특별시 광진구 아차산로76가길 15 (광장동),02-446-8167,추어탕,2019-02-21
심마니유황오리,한식,서울특별시 광진구 긴고랑로 85 (중곡동),02-452-1610,오리구이,2019-02-21
양평해장국,한식,서울특별시 광진구 동일로 402 (중곡동),02-976-6820,해장국,2019-02-21
미스터손두부보쌈,한식,서울특별시 광진구 아차산로 262 (자양동),02-2024-1424,보쌈,2019-02-21
굴다리전주콩나물국밥,한식,서울특별시 광진구 자양로 160 (구의동),02-458-8118,콩나물국밥,2019-02-21
매운향솥,중국식,서울특별시 광진구 동일로18길 61 (자양동),02-468-6388,"마라샹궈, 꿔바로우",2019-02-21
참치야,일식,서울특별시 광진구 자양로43길 47 (중곡동),02-3437-9991,참치회,2019-02-21
채선당,한식,서울특별시 광진구 용마산로 110 (중곡동),02-452-5200,샤브샤브,2019-02-21
옹기생삼겹살,한식,서울특별시 광진구 영화사로 97 (구의동),02-447-3492,삼겹살,2019-02-21
어라연참치&스시,일식,"서울특별시 광진구 천호대로 646 (능동,능동나이스빌딩)",02-457-2337,참치,2019-02-21
광장동 가온,한식,"서울특별시 광진구 아차산로78길 75 (광장동, 현대골든텔 106호)",02-3436-7100,곰국수,2019-02-21
손큰할매순대국,한식,서울특별시 광진구 군자로 86 (군자동),02-465-8769,순대국,2019-02-21
망향비빔국수,한식,"서울특별시 광진구 천호대로 694 (구의동,(1층))",02-454-1357,비빔국수,2019-02-21
군자닭갈비,한식,"서울특별시 광진구 능동로 315, 1층 (중곡동)",02-6245-9888,닭갈비,2019-02-21
투존치킨구의점앤비어,한식,서울특별시 광진구 광나루로56길 29 (구의동),02-444-4473,치킨,2019-02-21
지담정,한식,서울특별시 광진구 능동로37길 10-3 (중곡동),02-2205-3777,"낙지전골, 갈비전골",2019-02-21
은행나무집,한식,서울특별시 광진구 아차산로69길 20 (광장동),02-457-7100,삼계탕,2019-02-21
막회회집,일식,서울특별시 광진구 천호대로 576 (능동),02-0412-6239,막회,2019-02-21
찜집,한식,"서울특별시 광진구 자양번영로 44 (자양동,(1층))",02-446-1149,찜,2019-02-21
니뽕내뽕,중국식,"서울특별시 광진구 동일로20길 60, 1층 (자양동)",02-499-1828,짬뽕,2019-02-21
오늘손칼국수찜,한식,서울특별시 광진구 아차산로 382 (자양동),02-454-3004,"해물찜, 바지락칼국수",2019-02-21
생고기제작소 구의역점,한식,"서울특별시 광진구 아차산로 380 (자양동,1층)",02-6397-9886,소고기,2019-02-21
남원율천추어탕,한식,"서울특별시 광진구 아차산로73길 48 (광장동,(지하1층))",02-549-3066,추어탕,2019-02-21
산울,한식,"서울특별시 광진구 아차산로73길 48, 2층 201호 (광장동)",02-453-2277,곤드레정식,2019-02-21
크래버대게나라,한식,"서울특별시 광진구 워커힐로 3, 1층 (광장동)",02-456-0277,대게정식,2019-02-21
꿀족,한식,"서울특별시 광진구 아차산로31길 20-6 (화양동, 지층,1층)",02-464-8280,"보쌈,족발",2019-02-21
육일관나주곰탕,한식,서울특별시 광진구 아차산로 353-1 (자양동),02-456-1666,곰탕,2019-02-21
팀스쿡,경양식,"서울특별시 광진구 광나루로50길 10, 1층,2층 (구의동)",02-447-0880,"피자,파스타,스테이크",2019-02-21
전주가,한식,"서울특별시 광진구 자양로42길 2, 1층 101호,102호 (구의동)",02-446-8644,콩나물국밥,2019-02-21
쿠우쿠우,일식,"서울특별시 광진구 아차산로 225, 5층 (화양동)",02-466-6274,초밥,2019-02-21
채선당플러스강변역점,한식,"서울특별시 광진구 구의강변로 45, 2층 (구의동)",02-3437-8231,샤브샤브,2019-02-21
세종원,중국식,"서울특별시 광진구 광나루로 373, 1층 (군자동)",02-499-1800,자장면,2019-02-21
미가담,호프/통닭,"서울특별시 광진구 자양로 165, 1층 (구의동)",02-2201-9595,보리밥,2019-02-21
연길왕꼬치,중국식,서울특별시 광진구 동일로18길 86 (자양동),02-463-7741,"양꼬치, 탕수육",2019-02-21
유성집,한식,"서울특별시 광진구 천호대로137길 9, 지하2층 (구의동)",02-454-6999,등심,2019-02-21
송쉐프구의점,중국식,"서울특별시 광진구 아차산로 355, 타워더모스트광진아크로텔 2층 208호 (자양동)",02-446-6000,자장면,2019-02-21
얼땅쟈,중국식,"서울특별시 광진구 동일로18길 68, 1층 (자양동)",02-465-9285,훠궈,2019-02-21
부림정,한식,"서울특별시 광진구 능동로 18, 지하1층 B01-1호 (자양동, 이튼타워리버3차)",02-499-1714,갈비,2019-02-21
원조마포숯불갈비,한식,"서울특별시 광진구 광나루로12길 5, 2층 201호 (화양동)",02-467-9292,숯불갈비,2019-02-21
명가네남원추어탕,한식,"서울특별시 광진구 능동로37길 11, 1층 (중곡동)",02-461-5977,추어탕,2019-02-21
명가,중국식,"서울특별시 광진구 아차산로30길 39, 1층 (자양동)",02-468-6669,양꼬치,2019-02-21
더466키친,한식,"서울특별시 광진구 아차산로 466, 1층 (구의동)",02-466-4669,샌드위치,2019-02-21
정성한줄,한식,"서울특별시 광진구 아차산로 537-17, 1층 17호 (광장동)",02-3437-8254,김밥,2019-02-21
휘야(애간장),한식,"서울특별시 광진구 광장로 51, 1층 (광장동)",,간장게장,2019-02-21
최대감,한식,"서울특별시 광진구 광나루로 345, 1층 (군자동)",02-497-9292,돼지고기구이,2019-02-21
도치,경양식,"서울특별시 광진구 아차산로62길 14-4, 1,2층 (구의동)",,피자,2019-02-21
복만루,중국식,"서울특별시 광진구 아차산로30길 23, 2층 (자양동)",02-499-1685,훠궈,2019-02-21
유키노하나,일식,"서울특별시 광진구 아차산로33길 21-5, 1~3층 (화양동)",02-6085-9512,생선회,2019-02-21
맷돌로만,한식,"서울특별시 광진구 자양로 135, 1층 (자양동)",02-593-1233,두부,2019-02-21
